time	Vf_x	Vf_y	Vf_z	Xf_x	Xf_y	Xf_z	Fc_x	Fc_y	Fc_z	first_packet
0.000000	inf	-nan	-nan	0.332890	-0.006354	0.427620	-0.001259	-0.000918	-0.013021	0
0.001000	0.000233	0.001451	-0.001380	0.332890	-0.006353	0.427619	-0.002465	-0.009779	0.001705	0
0.002000	-0.000459	-0.001528	-0.000500	0.332890	-0.006355	0.427618	0.003967	0.004565	0.010987	0
0.003000	-0.000200	-0.001023	0.000957	0.332890	-0.006356	0.427619	0.001418	0.016981	-0.009862	0
0.004000	0.000723	0.001280	0.000304	0.332890	-0.006354	0.427620	-0.000708	-0.002543	-0.012549	0
0.005000	-0.000672	-0.001943	-0.003071	0.332890	-0.006356	0.427617	0.005919	0.008349	0.013531	0
0.006000	0.000530	0.001118	0.002387	0.332890	-0.006355	0.427619	0.002023	-0.005923	-0.004545	0
0.007000	-0.000347	-0.001067	-0.002225	0.332890	-0.006356	0.427617	0.008164	0.011908	0.006404	0
0.008000	0.000411	0.000058	-0.001610	0.332890	-0.006356	0.427615	0.008366	0.009395	0.020577	0
0.009000	-0.000393	0.000047	0.001225	0.332890	-0.006356	0.427616	0.009685	0.016880	0.008898	0
0.010000	0.000206	-0.000987	0.000838	0.332890	-0.006357	0.427617	0.003048	0.022613	-0.002009	0
0.011000	0.000074	0.003749	-0.000678	0.332890	-0.006353	0.427617	-0.000415	-0.011981	0.000625	0
0.012000	-0.000029	-0.002151	0.000160	0.332890	-0.006355	0.427617	-0.003900	0.003041	0.002357	0
0.013000	0.001007	-0.002431	0.003243	0.332891	-0.006358	0.427620	-0.008627	0.022568	-0.021576	0
0.014000	-0.000798	0.000424	-0.004576	0.332890	-0.006357	0.427615	-0.001863	0.015806	0.024757	0
0.015000	-0.001111	0.000852	0.000887	0.332889	-0.006357	0.427616	0.004988	0.000131	0.011250	0
0.016000	0.000977	-0.000175	0.001116	0.332890	-0.006357	0.427617	0.001183	-0.010291	0.001072	0
0.017000	0.000346	0.001531	-0.000500	0.332891	-0.006355	0.427617	-0.002698	-0.014941	0.003088	0
0.018000	-0.000849	-0.002920	0.000263	0.332890	-0.006358	0.427617	0.005188	0.016512	-0.003505	0
0.019000	-0.000028	0.000076	-0.001296	0.332890	-0.006358	0.427616	0.002988	0.016873	0.010028	0
0.020000	0.000152	-0.002653	-0.000695	0.332890	-0.006361	0.427615	0.003130	0.033334	0.015335	0
0.021000	-0.000342	0.001776	0.000182	0.332889	-0.006359	0.427615	-0.000669	0.010312	0.007014	0
0.022000	0.000405	-0.000177	0.000944	0.332890	-0.006359	0.427616	-0.001521	0.009678	0.001709	0
0.023000	0.000444	-0.000106	0.000491	0.332890	-0.006359	0.427617	-0.004174	0.007174	-0.002688	0
0.024000	-0.000512	0.000194	-0.001560	0.332890	-0.006359	0.427615	0.001378	-0.001879	0.012959	0
0.025000	-0.000685	-0.002318	-0.003375	0.332889	-0.006361	0.427612	0.006604	0.006731	0.035335	0
0.026000	0.000965	0.001544	0.004378	0.332890	-0.006360	0.427616	0.002322	-0.004474	-0.003530	0
0.027000	-0.001270	-0.001940	-0.000964	0.332889	-0.006362	0.427615	0.014016	0.010589	0.008307	0
0.028000	0.001022	0.001367	-0.001486	0.332890	-0.006360	0.427614	0.001146	-0.003351	0.019212	0
0.029000	0.000117	-0.002914	0.000717	0.332890	-0.006363	0.427614	-0.001598	0.019906	0.017598	0
0.030000	-0.000223	0.001494	-0.000823	0.332890	-0.006362	0.427614	0.003448	0.005111	0.017739	0
0.031000	0.000006	0.000768	0.001945	0.332890	-0.006361	0.427616	0.000287	-0.006158	-0.007137	0
0.032000	-0.000213	0.000550	-0.000899	0.332890	-0.006360	0.427615	0.006338	-0.003555	0.012585	0
0.033000	0.000600	-0.002047	-0.001653	0.332890	-0.006363	0.427613	0.000450	0.010971	0.032609	0
0.034000	-0.000453	0.000173	-0.000019	0.332890	-0.006362	0.427613	0.006174	0.002876	0.018338	0
0.035000	-0.000050	0.000894	0.001489	0.332890	-0.006361	0.427614	0.007085	-0.005355	0.000119	0
0.036000	-0.000022	-0.002546	0.000559	0.332890	-0.006364	0.427615	0.005749	0.021958	-0.000625	0
0.037000	0.000855	0.000503	0.000482	0.332890	-0.006364	0.427616	0.000855	0.011477	-0.010108	0
0.038000	-0.001092	0.000038	-0.002676	0.332889	-0.006363	0.427613	0.011916	0.005143	0.014186	0
0.039000	0.000467	0.001227	0.001521	0.332890	-0.006362	0.427614	0.006841	-0.013205	-0.005595	0
0.040000	0.000239	-0.003227	-0.001058	0.332890	-0.006365	0.427613	0.003723	0.011807	0.004029	0
0.041000	0.000262	0.001118	0.000507	0.332890	-0.006364	0.427614	0.000347	0.004984	-0.000870	0
0.042000	-0.000047	0.001409	0.001438	0.332890	-0.006363	0.427615	-0.000405	-0.011586	-0.011517	0
0.043000	-0.001007	-0.002625	-0.003141	0.332889	-0.006366	0.427612	0.010713	0.014581	0.020313	0
0.044000	0.000561	0.002482	0.001528	0.332890	-0.006363	0.427614	0.009409	-0.009025	0.005464	0
0.045000	-0.000022	-0.000720	0.001306	0.332890	-0.006364	0.427615	0.008978	-0.000888	-0.007987	0
0.046000	0.001031	-0.001844	-0.001646	0.332891	-0.006366	0.427613	-0.004107	0.005631	0.004101	0
0.047000	-0.001052	-0.000181	-0.000855	0.332890	-0.006366	0.427612	0.003657	0.011233	0.018228	0
0.048000	0.000523	0.000152	0.003271	0.332890	-0.006366	0.427616	-0.001681	0.019510	-0.017006	0
0.049000	0.000176	-0.000232	-0.001002	0.332890	-0.006366	0.427615	-0.006822	0.012216	-0.012586	0
0.050000	-0.000036	0.000141	0.000233	0.332890	-0.006366	0.427615	-0.008852	0.006260	-0.011162	0
0.051000	0.000894	-0.000214	-0.001659	0.332891	-0.006366	0.427613	-0.012892	0.004433	0.012124	0
0.052000	-0.000814	-0.001169	-0.000248	0.332891	-0.006367	0.427613	-0.004895	0.008931	0.005598	0
0.053000	0.000446	0.001461	0.000791	0.332891	-0.006366	0.427614	-0.005455	0.002871	-0.002651	0
0.054000	-0.001125	-0.000519	0.000378	0.332890	-0.006366	0.427614	0.007793	0.010441	0.000220	0
0.055000	0.001432	-0.000219	0.001180	0.332891	-0.006366	0.427615	-0.000178	0.012091	0.001091	0
0.056000	-0.000675	-0.000256	-0.001568	0.332891	-0.006367	0.427614	0.010497	0.011565	0.019727	0
0.057000	0.000198	0.000013	0.000237	0.332891	-0.006367	0.427614	0.002771	0.010152	0.004757	0
0.058000	-0.000316	-0.000893	0.002016	0.332890	-0.006368	0.427616	-0.002005	0.018530	-0.015058	0
0.059000	-0.000721	-0.002466	-0.000263	0.332890	-0.006370	0.427616	0.013257	0.029990	-0.002791	0
0.060000	0.000170	0.001043	-0.000615	0.332890	-0.006369	0.427615	0.013420	0.012930	0.005908	0
0.061000	0.000661	0.000043	-0.000364	0.332891	-0.006369	0.427615	0.003424	0.011282	0.005252	0
0.062000	-0.000085	0.000793	0.000462	0.332891	-0.006368	0.427615	0.001632	0.000608	-0.005976	0
0.063000	0.000848	-0.000414	0.001584	0.332891	-0.006369	0.427617	-0.005499	0.001910	-0.015880	0
0.064000	-0.000296	0.000119	-0.000462	0.332891	-0.006368	0.427616	-0.003336	0.000108	-0.000478	0
0.065000	-0.000424	0.000473	-0.003547	0.332891	-0.006368	0.427613	-0.001102	-0.004527	0.023459	0
0.066000	0.000444	-0.000796	0.003717	0.332891	-0.006369	0.427617	-0.003987	0.001038	-0.010670	0
0.067000	-0.000716	-0.000175	-0.000914	0.332890	-0.006369	0.427616	0.006233	0.003409	-0.003414	0
0.068000	-0.000049	-0.000119	-0.001645	0.332890	-0.006369	0.427614	0.003252	0.001168	0.009125	0
0.069000	-0.000564	-0.002346	0.000553	0.332890	-0.006371	0.427615	-0.000238	0.023912	-0.001667	0
0.070000	0.000727	0.000710	-0.000477	0.332890	-0.006371	0.427614	-0.003408	0.007718	0.006301	0
0.071000	0.000267	0.001834	0.000699	0.332891	-0.006369	0.427615	-0.005331	-0.007979	-0.004249	0
0.072000	-0.001157	-0.002078	-0.000593	0.332890	-0.006371	0.427614	0.007167	0.005570	0.010744	0
0.073000	0.000754	-0.000354	-0.000754	0.332890	-0.006371	0.427613	-0.003731	0.006534	0.008306	0
0.074000	0.000625	-0.002260	0.002426	0.332891	-0.006374	0.427616	-0.007272	0.028640	-0.017590	0
0.075000	0.000391	0.001188	0.000128	0.332891	-0.006372	0.427616	-0.007358	0.017086	-0.009337	0
0.076000	-0.000541	0.000569	-0.001483	0.332891	-0.006372	0.427615	-0.001031	0.010183	-0.001857	0
0.077000	-0.000444	-0.000121	-0.000323	0.332890	-0.006372	0.427614	0.003668	0.015645	-0.001505	0
0.078000	0.000478	-0.000797	0.000156	0.332891	-0.006373	0.427614	-0.003887	0.008767	-0.002605	0
0.079000	0.000036	0.001638	0.000702	0.332891	-0.006371	0.427615	0.001012	0.000320	-0.002499	0
0.080000	-0.000150	0.000016	-0.001448	0.332891	-0.006371	0.427614	0.003360	0.005448	0.008928	0
0.081000	0.000478	-0.001453	0.001582	0.332891	-0.006373	0.427615	-0.003851	0.007710	-0.010374	0
0.082000	-0.000335	0.000971	-0.000139	0.332891	-0.006372	0.427615	-0.001164	-0.000565	-0.004578	0
0.083000	-0.000835	-0.002504	-0.002110	0.332890	-0.006374	0.427613	0.001447	0.014214	0.007075	0
0.084000	0.000741	0.001326	0.002181	0.332891	-0.006373	0.427615	-0.003037	-0.000533	-0.008124	0
0.085000	-0.001297	-0.000284	-0.001772	0.332889	-0.006373	0.427613	0.008166	0.011395	0.009153	0
0.086000	0.001596	0.001498	0.002189	0.332891	-0.006372	0.427616	-0.006170	-0.007083	-0.004144	0
0.087000	-0.000718	-0.002281	-0.001559	0.332890	-0.006374	0.427614	0.001071	0.016606	0.011247	0
