time	Vf_x	Vf_y	Vf_z	Xf_x	Xf_y	Xf_z	Fc_x	Fc_y	Fc_z	first_packet
0.000000	inf	-nan	-nan	0.001559	0.308303	0.487678	-0.015277	0.001809	-0.007444	0
0.001000	-0.000817	0.000013	0.000028	0.001558	0.308303	0.487678	0.000194	0.002868	-0.004933	0
0.002000	0.000491	-0.000313	-0.000452	0.001558	0.308302	0.487677	-0.009954	0.005299	0.007922	0
0.003000	-0.002188	0.000480	0.003501	0.001556	0.308303	0.487681	0.017090	-0.001544	-0.019031	0
0.004000	-0.000295	0.000221	-0.001175	0.001556	0.308303	0.487680	0.015662	-0.008152	-0.018609	0
0.005000	0.000929	0.000062	0.000744	0.001557	0.308303	0.487681	0.009758	-0.008535	-0.020116	0
0.006000	-0.000053	-0.000034	-0.000926	0.001557	0.308303	0.487680	-0.002256	-0.006083	-0.010281	0
0.007000	-0.000199	-0.000607	-0.003061	0.001557	0.308302	0.487677	-0.005815	0.005219	0.022695	0
0.008000	0.000206	0.000401	-0.003132	0.001557	0.308303	0.487673	-0.017607	0.002218	0.043003	0
0.009000	-0.000057	0.000675	0.003556	0.001557	0.308303	0.487677	-0.017328	-0.005834	0.007715	0
0.010000	-0.001415	-0.000430	-0.000318	0.001555	0.308303	0.487677	0.009738	-0.000484	0.009236	0
0.011000	0.000980	0.001085	-0.001748	0.001556	0.308304	0.487675	0.004883	-0.015413	0.027157	0
0.012000	0.000727	-0.001588	0.001294	0.001557	0.308303	0.487676	-0.004021	0.000525	0.002367	0
0.013000	-0.003317	-0.000636	0.001095	0.001554	0.308302	0.487677	0.019408	0.005239	-0.013238	0
0.014000	0.000712	0.000330	-0.002055	0.001554	0.308302	0.487675	0.002159	0.007928	0.008731	0
0.015000	-0.002082	0.001508	-0.000422	0.001552	0.308304	0.487675	0.030655	-0.005803	0.009573	0
0.016000	0.000864	-0.001136	-0.002452	0.001553	0.308303	0.487672	0.015529	0.007520	0.030440	0
0.017000	-0.000716	0.000936	0.000279	0.001553	0.308304	0.487673	0.014492	-0.006477	0.032698	0
0.018000	0.001696	-0.000215	-0.001623	0.001554	0.308303	0.487671	0.000145	-0.004643	0.034940	0
0.019000	-0.002684	0.000587	-0.000450	0.001552	0.308304	0.487671	0.018126	-0.009940	0.028842	0
0.020000	-0.001745	-0.000100	0.001824	0.001550	0.308304	0.487672	0.030405	-0.007763	0.006604	0
0.021000	0.002125	-0.000133	-0.000139	0.001552	0.308304	0.487672	0.013940	-0.001784	0.011146	0
0.022000	-0.000395	-0.000082	-0.003123	0.001552	0.308304	0.487669	0.015343	-0.003564	0.030515	0
0.023000	0.001851	0.000747	0.000743	0.001553	0.308304	0.487670	-0.000008	-0.007875	0.019479	0
0.024000	0.000494	0.000020	0.001971	0.001554	0.308304	0.487672	0.001014	-0.003885	0.011820	0
0.025000	-0.001688	-0.000876	-0.000289	0.001552	0.308303	0.487672	0.018195	0.001836	0.013164	0
0.026000	0.001014	0.000728	-0.001987	0.001553	0.308304	0.487670	0.006529	-0.006949	0.016162	0
0.027000	0.000755	-0.000015	0.001162	0.001554	0.308304	0.487671	-0.002000	-0.002956	0.005271	0
0.028000	-0.000596	-0.000417	0.001600	0.001553	0.308304	0.487672	0.009781	0.000715	-0.009260	0
0.029000	0.001977	-0.000336	-0.000904	0.001555	0.308303	0.487671	-0.012772	0.006081	-0.002704	0
