time	Vf_x	Vf_y	Vf_z	Xf_x	Xf_y	Xf_z	Fc_x	Fc_y	Fc_z	first_packet
0.000000	inf	-nan	-nan	0.308275	-0.001350	0.487508	-0.001161	-0.012215	-0.008822	0
0.001000	0.001245	-0.001966	0.001089	0.308276	-0.001352	0.487509	-0.007787	0.005926	-0.025104	0
0.002000	-0.002156	-0.000569	-0.003213	0.308274	-0.001353	0.487506	0.010592	0.007455	0.014317	0
0.003000	0.001556	0.000886	0.001962	0.308275	-0.001352	0.487508	-0.006132	-0.001079	-0.010677	0
0.004000	-0.000800	0.000450	0.002363	0.308274	-0.001352	0.487510	0.000954	-0.010813	-0.033651	0
0.005000	-0.000513	0.001230	-0.003210	0.308274	-0.001350	0.487507	0.000699	-0.011770	-0.000509	0
0.006000	0.000114	-0.001287	-0.000538	0.308274	-0.001352	0.487507	0.002959	0.000299	0.006669	0
0.007000	-0.000586	-0.002146	-0.000994	0.308274	-0.001354	0.487506	0.014117	0.016215	0.026784	0
0.008000	0.000292	0.000880	0.000136	0.308274	-0.001353	0.487506	0.013962	0.009077	0.027282	0
0.009000	0.000671	0.002537	-0.002812	0.308274	-0.001350	0.487503	-0.000406	-0.006724	0.044449	0
0.010000	0.000406	-0.002934	0.000814	0.308275	-0.001353	0.487504	-0.001700	0.017407	0.029019	0
0.011000	-0.000435	0.001718	0.001861	0.308274	-0.001352	0.487506	-0.003230	-0.000021	0.006680	0
0.012000	0.000191	-0.001074	-0.000255	0.308275	-0.001353	0.487505	-0.006918	0.003129	0.006346	0
0.013000	-0.001079	-0.000653	0.000408	0.308274	-0.001353	0.487506	0.007007	0.008975	-0.005146	0
0.014000	-0.000404	-0.000995	-0.000665	0.308273	-0.001354	0.487505	0.008343	0.008938	0.005716	0
0.015000	0.000300	0.000248	-0.001253	0.308273	-0.001354	0.487504	0.003757	0.001198	0.003974	0
0.016000	0.000004	-0.000386	0.000401	0.308273	-0.001354	0.487504	0.007160	0.012171	0.005490	0
0.017000	-0.000450	0.000475	0.001217	0.308273	-0.001354	0.487505	0.008092	0.003436	-0.009354	0
0.018000	-0.000301	-0.000208	-0.002778	0.308273	-0.001354	0.487503	0.009872	0.005941	0.011910	0
0.019000	0.001533	0.001144	-0.000091	0.308274	-0.001353	0.487503	-0.007372	-0.002225	0.009671	0
0.020000	-0.000383	-0.001365	0.000640	0.308274	-0.001354	0.487503	-0.004916	0.008060	-0.006493	0
0.021000	-0.000220	0.000143	0.000396	0.308274	-0.001354	0.487504	-0.000658	0.000876	-0.008767	0
0.022000	0.000962	-0.002503	-0.001185	0.308275	-0.001357	0.487502	0.000153	0.020453	0.011761	0
0.023000	-0.001011	0.001658	0.000675	0.308274	-0.001355	0.487503	0.002862	0.001565	0.001916	0
0.024000	0.001709	-0.000061	-0.000014	0.308275	-0.001355	0.487503	-0.014038	0.001497	-0.000173	0
0.025000	-0.000930	-0.001176	0.000043	0.308274	-0.001356	0.487503	-0.004363	0.011373	-0.012569	0
0.026000	0.000722	0.002480	-0.001050	0.308275	-0.001354	0.487502	-0.006895	-0.012750	-0.003677	0
0.027000	0.000241	-0.000460	0.000355	0.308275	-0.001354	0.487502	-0.005440	-0.004886	-0.002010	0
0.028000	0.000713	-0.001106	-0.004340	0.308276	-0.001355	0.487498	-0.010767	0.008930	0.032424	0
0.029000	-0.000068	-0.000102	0.002017	0.308276	-0.001355	0.487500	-0.007170	0.005203	0.007014	0
0.030000	0.001132	-0.001847	0.000729	0.308277	-0.001357	0.487501	-0.014396	0.013257	-0.003835	0
0.031000	0.000179	0.001024	-0.002425	0.308277	-0.001356	0.487498	-0.016533	-0.004880	0.017968	0
0.032000	0.000294	0.000251	0.001284	0.308278	-0.001356	0.487500	-0.019853	-0.000260	-0.000692	0
0.033000	0.001029	0.000457	0.000248	0.308279	-0.001356	0.487500	-0.019754	0.003443	-0.010649	0
0.034000	-0.001548	0.001097	-0.000072	0.308277	-0.001354	0.487500	-0.005975	-0.000638	-0.010835	0
0.035000	0.002454	-0.001705	-0.003362	0.308280	-0.001356	0.487496	-0.023647	0.015550	0.016072	0
0.036000	-0.000857	-0.000511	-0.000961	0.308279	-0.001357	0.487496	-0.010116	0.010750	0.016750	0
0.037000	0.000131	-0.000599	0.000391	0.308279	-0.001357	0.487496	-0.009036	0.010769	0.005385	0
0.038000	0.001319	0.001999	-0.001366	0.308280	-0.001355	0.487495	-0.018976	-0.008071	0.017194	0
0.039000	-0.000626	0.001785	-0.000020	0.308279	-0.001354	0.487495	-0.012239	-0.022920	0.009988	0
0.040000	0.000860	-0.002848	-0.001259	0.308280	-0.001356	0.487493	-0.015460	0.005456	0.010344	0
0.041000	0.000330	0.000680	-0.002721	0.308281	-0.001356	0.487491	-0.012745	-0.002118	0.026890	0
0.042000	0.001141	-0.000936	0.001467	0.308282	-0.001357	0.487492	-0.021353	0.010202	0.005853	0
0.043000	-0.000203	-0.000012	-0.002963	0.308282	-0.001357	0.487489	-0.015540	0.003188	0.027260	0
0.044000	0.000443	0.001131	-0.001997	0.308282	-0.001355	0.487487	-0.018098	-0.011982	0.038061	0
0.045000	0.000904	0.000403	-0.001420	0.308283	-0.001355	0.487486	-0.017898	-0.008099	0.034682	0
0.046000	0.001298	-0.002007	0.001504	0.308284	-0.001357	0.487487	-0.024383	0.010175	0.009346	0
0.047000	0.000258	-0.000301	-0.000963	0.308285	-0.001357	0.487486	-0.018999	0.005714	0.023708	0
0.048000	0.000935	0.001841	0.001115	0.308285	-0.001356	0.487487	-0.022497	-0.009629	0.002355	0
0.049000	-0.000095	-0.001180	-0.004596	0.308285	-0.001357	0.487483	-0.017449	0.005375	0.029938	0
0.050000	0.000197	-0.000415	-0.001648	0.308286	-0.001357	0.487481	-0.015036	0.002607	0.036888	0
0.051000	0.000470	0.000646	0.000206	0.308286	-0.001357	0.487481	-0.013720	-0.001578	0.023457	0
0.052000	0.000983	0.000690	-0.001298	0.308287	-0.001356	0.487480	-0.017122	-0.018956	0.031376	0
0.053000	0.000489	-0.000749	-0.002365	0.308287	-0.001357	0.487478	-0.015535	-0.003558	0.034496	0
0.054000	-0.000425	-0.000147	-0.001037	0.308287	-0.001357	0.487477	-0.008890	-0.002145	0.026307	0
0.055000	0.001339	-0.000348	0.000094	0.308288	-0.001357	0.487477	-0.013342	0.000738	0.018185	0
0.056000	-0.000059	0.000790	-0.000532	0.308288	-0.001356	0.487476	-0.011759	-0.000060	0.022943	0
0.057000	0.001005	-0.000502	-0.001810	0.308289	-0.001357	0.487474	-0.012936	-0.001175	0.029990	0
0.058000	0.000560	0.000077	-0.000520	0.308290	-0.001357	0.487474	-0.013211	-0.002377	0.027670	0
0.059000	0.000656	-0.000435	-0.001227	0.308291	-0.001357	0.487473	-0.013959	-0.007834	0.025605	0
0.060000	0.000510	0.001229	-0.001048	0.308291	-0.001356	0.487471	-0.013660	-0.014130	0.023724	0
0.061000	0.000374	-0.001567	-0.001785	0.308291	-0.001357	0.487470	-0.013043	-0.004810	0.034374	0
0.062000	0.000232	-0.000092	-0.001249	0.308292	-0.001358	0.487468	-0.010012	-0.009148	0.030834	0
0.063000	0.000317	0.000232	-0.000893	0.308292	-0.001357	0.487468	-0.012339	-0.012659	0.034228	0
0.064000	0.000681	-0.001680	0.000177	0.308293	-0.001359	0.487468	-0.011952	0.006828	0.028808	0
0.065000	0.001120	0.002335	-0.002103	0.308294	-0.001357	0.487466	-0.015083	-0.014261	0.035454	0
0.066000	0.000434	0.000785	-0.001934	0.308294	-0.001356	0.487464	-0.014797	-0.014577	0.038681	0
0.067000	0.000578	-0.002504	-0.001594	0.308295	-0.001358	0.487462	-0.015501	0.008730	0.041315	0
0.068000	0.000563	0.000225	-0.000701	0.308295	-0.001358	0.487461	-0.015210	0.004560	0.034895	0
0.069000	0.000819	0.002184	-0.001409	0.308296	-0.001356	0.487460	-0.024458	-0.011777	0.037816	0
0.070000	0.001212	-0.000923	-0.001297	0.308297	-0.001357	0.487459	-0.027168	-0.003209	0.045262	0
0.071000	0.000280	0.000578	-0.003488	0.308298	-0.001356	0.487455	-0.024653	-0.007601	0.059954	0
0.072000	-0.000300	-0.002698	-0.000170	0.308297	-0.001359	0.487455	-0.012947	0.014983	0.052418	0
0.073000	0.001268	0.002106	-0.000978	0.308299	-0.001357	0.487454	-0.025792	-0.006517	0.045404	0
0.074000	0.001013	-0.001339	-0.002204	0.308300	-0.001358	0.487452	-0.028124	0.006132	0.054017	0
0.075000	0.000704	-0.000579	-0.003051	0.308300	-0.001359	0.487449	-0.026273	0.004068	0.062000	0
0.076000	0.000408	0.000055	0.001720	0.308301	-0.001359	0.487451	-0.022285	-0.001134	0.032782	0
0.077000	-0.000736	0.000927	-0.002562	0.308300	-0.001358	0.487448	-0.014283	-0.007871	0.046530	0
0.078000	0.001059	-0.000181	0.000094	0.308301	-0.001358	0.487448	-0.015508	0.003313	0.034624	0
0.079000	0.000787	-0.002939	-0.003187	0.308302	-0.001361	0.487445	-0.014948	0.027686	0.053961	0
0.080000	0.000696	0.003285	0.001094	0.308303	-0.001358	0.487446	-0.015875	0.001084	0.028492	0
0.081000	0.000937	-0.003654	-0.000944	0.308304	-0.001361	0.487445	-0.018126	0.039103	0.028167	0
0.082000	0.001272	0.002733	-0.001733	0.308305	-0.001359	0.487443	-0.019208	0.014089	0.039313	0
0.083000	0.000483	-0.000547	-0.002266	0.308305	-0.001359	0.487441	-0.018247	0.009053	0.049556	0
0.084000	0.001310	0.000867	-0.003278	0.308307	-0.001358	0.487438	-0.024802	-0.006114	0.063488	0
