time	Vf_x	Vf_y	Vf_z	Xf_x	Xf_y	Xf_z	Fc_x	Fc_y	Fc_z	first_packet
0.000000	inf	-nan	-nan	0.308213	0.001852	0.487369	0.000000	0.000000	0.000000	0
0.001000	-0.000926	-0.000688	0.000124	0.308212	0.001851	0.487369	0.000000	0.000000	0.000000	0
0.002000	-0.000117	-0.000013	0.005664	0.308212	0.001851	0.487375	0.000000	0.000000	0.000000	0
0.003000	-0.000022	-0.001013	0.000580	0.308212	0.001850	0.487376	0.000000	0.000000	0.000000	0
0.004000	-0.000064	-0.000041	-0.000647	0.308212	0.001850	0.487375	0.000000	0.000000	0.000000	0
0.005000	0.000046	0.003217	0.001207	0.308212	0.001853	0.487376	0.000000	0.000000	0.000000	0
0.006000	-0.000014	-0.000107	0.000627	0.308212	0.001853	0.487377	0.000000	0.000000	0.000000	0
0.007000	0.001673	-0.000600	-0.001556	0.308214	0.001853	0.487375	0.000000	0.000000	0.000000	0
0.008000	0.000126	0.002153	0.000412	0.308214	0.001855	0.487376	0.000000	0.000000	0.000000	0
0.009000	-0.000108	-0.002267	-0.002575	0.308214	0.001853	0.487373	0.000000	0.000000	0.000000	0
0.010000	0.001575	0.002576	0.002597	0.308215	0.001855	0.487376	0.000000	0.000000	0.000000	0
0.011000	0.000876	0.003652	0.001026	0.308216	0.001859	0.487377	0.000000	0.000000	0.000000	0
0.012000	0.002347	0.000117	0.002664	0.308219	0.001859	0.487379	0.000000	0.000000	0.000000	0
0.013000	0.000169	0.000157	0.001293	0.308219	0.001859	0.487381	0.000000	0.000000	0.000000	0
0.015000	0.000075	-0.000058	-0.001629	0.308221	0.001861	0.487382	0.000000	0.000000	0.000000	0
0.016000	0.002193	0.001840	0.002704	0.308223	0.001863	0.487385	0.000000	0.000000	0.000000	0
0.017000	0.000885	-0.001513	-0.000280	0.308224	0.001861	0.487385	0.000000	0.000000	0.000000	0
0.018000	0.002109	0.002401	-0.004323	0.308226	0.001864	0.487380	0.000000	0.000000	0.000000	0
0.019000	0.001931	0.000951	0.001936	0.308228	0.001864	0.487382	0.000000	0.000000	0.000000	0
0.020000	0.001957	0.001796	-0.002529	0.308230	0.001866	0.487380	0.000000	0.000000	0.000000	0
0.021000	0.000913	0.001799	-0.001609	0.308231	0.001868	0.487378	0.000000	0.000000	0.000000	0
0.022000	0.001841	0.002461	0.000881	0.308233	0.001871	0.487379	0.000000	0.000000	0.000000	0
0.023000	0.002247	0.004117	-0.002295	0.308235	0.001875	0.487377	0.000000	0.000000	0.000000	0
0.024000	0.000763	-0.001427	-0.001996	0.308236	0.001873	0.487375	0.000000	0.000000	0.000000	0
0.025000	0.001006	0.004099	-0.003007	0.308237	0.001877	0.487372	0.000000	0.000000	0.000000	0
0.026000	0.001859	-0.000479	-0.002450	0.308239	0.001877	0.487369	-3.532330	0.000000	0.000000	0
0.027000	0.000079	0.002933	-0.000953	0.308239	0.001880	0.487368	-3.569703	0.000000	0.000000	0
0.028000	0.000791	0.002032	-0.001734	0.308239	0.001882	0.487367	-3.597817	0.000000	0.000000	0
0.029000	0.000266	0.000632	-0.002565	0.308240	0.001882	0.487364	-3.614565	0.000000	0.000000	0
0.030000	0.000281	-0.000803	-0.001832	0.308240	0.001882	0.487362	-3.619538	0.000000	0.000000	0
0.031000	0.000474	0.002726	0.000266	0.308240	0.001884	0.487363	-3.611393	0.000000	0.000000	0
0.032000	0.001144	0.000599	-0.003178	0.308242	0.001885	0.487359	-3.592477	0.000000	0.000000	0
0.033000	0.000236	0.000951	-0.001610	0.308242	0.001886	0.487358	-3.568476	0.000000	0.000000	0
0.034000	0.002282	0.000466	0.000515	0.308244	0.001886	0.487358	-3.542950	0.000000	0.000000	0
0.035000	0.000402	0.000680	-0.002718	0.308244	0.001887	0.487356	-3.518093	0.000000	0.000000	0
0.036000	-0.000779	0.002398	-0.001205	0.308244	0.001889	0.487354	0.000000	0.000000	0.000000	0
0.037000	0.000754	-0.000647	-0.001515	0.308244	0.001889	0.487353	0.000000	0.000000	0.000000	0
0.038000	0.000375	-0.000148	-0.000387	0.308245	0.001889	0.487352	0.000000	0.000000	0.000000	0
0.039000	-0.001334	-0.000566	-0.002138	0.308243	0.001888	0.487350	0.000000	0.000000	0.000000	0
0.040000	0.000201	0.001020	-0.001749	0.308244	0.001889	0.487349	0.000000	0.000000	0.000000	0
0.041000	0.000151	0.001405	-0.001771	0.308244	0.001891	0.487347	0.000000	0.000000	0.000000	0
0.042000	-0.000410	-0.000912	-0.000287	0.308243	0.001890	0.487347	0.000000	0.000000	0.000000	0
0.043000	0.000385	0.001870	-0.001474	0.308244	0.001891	0.487345	0.000000	0.000000	0.000000	0
0.044000	0.000234	0.000315	-0.000859	0.308244	0.001892	0.487344	0.000000	0.000000	0.000000	0
0.045000	0.000248	0.000671	-0.005234	0.308244	0.001892	0.487339	0.000000	0.000000	0.000000	0
0.046000	-0.000177	0.001666	-0.001269	0.308244	0.001894	0.487338	0.000000	0.000000	0.000000	0
0.047000	0.000571	-0.001477	-0.001915	0.308245	0.001893	0.487336	0.000000	0.000000	0.000000	0
0.048000	0.000629	0.002117	-0.002301	0.308245	0.001895	0.487333	0.000000	0.000000	0.000000	0
0.049000	0.000219	-0.001080	0.002219	0.308246	0.001894	0.487336	0.000000	0.000000	0.000000	0
0.050000	0.000585	0.000697	-0.006265	0.308246	0.001894	0.487329	0.000000	0.000000	0.000000	0
0.052000	0.001260	-0.000505	0.000620	0.308248	0.001895	0.487331	0.000000	0.000000	0.000000	0
0.053000	0.000929	0.000287	-0.001193	0.308249	0.001895	0.487330	0.000000	0.000000	0.000000	0
0.054000	-0.000009	0.003380	-0.002821	0.308249	0.001898	0.487327	0.000000	0.000000	0.000000	0
0.055000	0.001099	-0.002116	-0.002212	0.308250	0.001896	0.487325	0.000000	0.000000	0.000000	0
0.056000	0.000515	0.003441	-0.000081	0.308250	0.001900	0.487325	0.000000	0.000000	0.000000	0
0.057000	0.000960	0.000395	-0.001356	0.308251	0.001900	0.487323	0.000000	0.000000	0.000000	0
0.058000	0.001452	0.003098	-0.000901	0.308253	0.001903	0.487323	0.000000	0.000000	0.000000	0
0.059000	0.000722	0.003583	-0.001160	0.308253	0.001907	0.487321	0.000000	0.000000	0.000000	0
0.060000	0.000984	0.000555	-0.001238	0.308254	0.001907	0.487320	0.000000	0.000000	0.000000	0
0.061000	0.000612	0.001323	0.001291	0.308255	0.001909	0.487321	0.000000	0.000000	0.000000	0
0.062000	0.001601	0.004136	-0.001342	0.308256	0.001913	0.487320	0.000000	0.000000	0.000000	0
0.063000	-0.000305	0.003008	0.000350	0.308256	0.001916	0.487320	0.000000	0.000000	0.000000	0
0.064000	0.001764	0.001355	-0.000067	0.308258	0.001917	0.487320	0.000000	0.000000	0.000000	0
0.065000	0.000306	0.004232	-0.002155	0.308258	0.001921	0.487318	0.000000	0.000000	0.000000	0
0.066000	0.002075	0.000917	-0.000976	0.308260	0.001922	0.487317	0.000000	0.000000	0.000000	0
0.067000	-0.000202	0.005147	0.002527	0.308260	0.001927	0.487320	0.000000	0.000000	0.000000	0
0.068000	0.000462	0.003432	-0.001882	0.308261	0.001931	0.487318	0.000000	0.000000	0.000000	0
0.069000	0.002076	0.003266	-0.001293	0.308263	0.001934	0.487317	0.000000	0.000000	0.000000	0
0.070000	0.000774	0.004232	-0.000579	0.308263	0.001938	0.487316	0.000000	0.000000	0.000000	0
0.071000	0.000779	0.003707	0.000471	0.308264	0.001942	0.487316	0.000000	0.000000	0.000000	0
0.072000	0.001088	0.002756	-0.002578	0.308265	0.001945	0.487314	0.000000	0.000000	0.000000	0
0.073000	0.000407	0.002612	-0.002309	0.308266	0.001947	0.487312	0.000000	0.000000	0.000000	0
0.074000	0.002145	0.004354	0.000936	0.308268	0.001952	0.487313	0.000000	0.000000	0.000000	0
0.075000	-0.000408	0.000949	-0.003900	0.308267	0.001953	0.487309	0.000000	0.000000	0.000000	0
0.076000	-0.000272	0.002968	0.000107	0.308267	0.001956	0.487309	0.000000	0.000000	0.000000	0
0.077000	0.001814	0.003125	-0.001138	0.308269	0.001959	0.487308	0.000000	0.000000	0.000000	0
0.078000	-0.000199	0.003901	-0.001346	0.308269	0.001963	0.487306	0.000000	0.000000	0.000000	0
0.079000	0.000651	0.003483	-0.002451	0.308269	0.001966	0.487304	0.000000	0.000000	0.000000	0
0.080000	0.000491	0.003006	-0.000179	0.308270	0.001969	0.487304	0.000000	0.000000	0.000000	0
0.081000	0.001767	0.001055	-0.002675	0.308272	0.001970	0.487301	0.000000	0.000000	0.000000	0
0.082000	0.000071	0.001581	-0.001233	0.308272	0.001972	0.487300	0.000000	0.000000	0.000000	0
0.083000	-0.000187	0.004738	-0.001251	0.308272	0.001976	0.487298	0.000000	0.000000	0.000000	0
0.084000	0.000392	0.001159	-0.002427	0.308272	0.001978	0.487296	0.000000	0.000000	0.000000	0
0.085000	0.000994	-0.000026	-0.002540	0.308273	0.001978	0.487293	0.000000	0.000000	0.000000	0
0.086000	0.001234	0.003116	-0.000264	0.308274	0.001981	0.487293	0.000000	0.000000	0.000000	0
0.087000	0.000132	0.001115	-0.000321	0.308274	0.001982	0.487293	0.000000	0.000000	0.000000	0
0.089000	0.000405	0.003194	0.002600	0.308276	0.001984	0.487291	0.000000	0.000000	0.000000	0
0.090000	0.000413	0.000906	-0.005279	0.308276	0.001985	0.487285	0.000000	0.000000	0.000000	0
0.091000	0.000633	0.000413	0.001747	0.308277	0.001985	0.487287	0.000000	0.000000	0.000000	0
0.092000	0.000562	0.001732	0.000030	0.308278	0.001987	0.487287	0.000000	0.000000	0.000000	0
0.093000	0.000265	-0.001050	-0.002615	0.308278	0.001986	0.487284	0.000000	0.000000	0.000000	0
0.094000	-0.000261	0.002278	-0.001244	0.308278	0.001988	0.487283	0.000000	0.000000	0.000000	0
0.095000	0.002642	0.000443	0.000986	0.308280	0.001989	0.487284	0.000000	0.000000	0.000000	0
0.096000	-0.000757	-0.000555	-0.003023	0.308279	0.001988	0.487281	0.000000	0.000000	0.000000	0
0.097000	0.000434	0.003243	-0.000629	0.308280	0.001992	0.487281	0.000000	0.000000	0.000000	0
0.098000	0.001908	-0.001981	0.000383	0.308282	0.001990	0.487281	0.000000	0.000000	0.000000	0
0.099000	-0.000008	0.001048	-0.001175	0.308282	0.001991	0.487280	0.000000	0.000000	0.000000	0
0.100000	-0.000184	0.003253	0.000363	0.308282	0.001994	0.487280	0.000000	0.000000	0.000000	0
0.101000	0.000840	0.000687	-0.000758	0.308282	0.001995	0.487279	0.000000	0.000000	0.000000	0
0.102000	0.000329	0.001435	-0.001197	0.308283	0.001996	0.487278	0.000000	0.000000	0.000000	0
0.103000	0.001752	0.000445	0.000911	0.308284	0.001996	0.487279	0.000000	0.000000	0.000000	0
0.104000	-0.000745	0.001632	-0.002561	0.308284	0.001998	0.487276	0.000000	0.000000	0.000000	0
0.105000	0.001251	0.002634	0.000279	0.308285	0.002001	0.487277	0.000000	0.000000	0.000000	0
0.106000	0.000452	-0.000274	-0.003277	0.308285	0.002000	0.487273	0.000000	0.000000	0.000000	0
0.107000	0.000028	0.003178	0.001595	0.308285	0.002004	0.487275	0.000000	0.000000	0.000000	0
0.108000	-0.000082	0.001289	-0.001982	0.308285	0.002005	0.487273	0.000000	0.000000	0.000000	0
0.109000	0.000894	0.001433	-0.000061	0.308286	0.002006	0.487273	0.000000	0.000000	0.000000	0
0.110000	0.000483	0.001752	-0.000993	0.308287	0.002008	0.487272	0.000000	0.000000	0.000000	0
0.111000	0.000923	-0.000548	-0.002341	0.308288	0.002008	0.487270	0.000000	0.000000	0.000000	0
0.112000	0.000588	0.002899	-0.001282	0.308288	0.002010	0.487268	0.000000	0.000000	0.000000	0
0.113000	-0.000026	0.000496	0.000299	0.308288	0.002011	0.487269	0.000000	0.000000	0.000000	0
0.114000	0.000544	0.000426	-0.002385	0.308289	0.002011	0.487266	0.000000	0.000000	0.000000	0
0.115000	-0.000528	0.003307	-0.001723	0.308288	0.002015	0.487265	0.000000	0.000000	0.000000	0
0.116000	0.000895	0.001701	-0.001268	0.308289	0.002016	0.487263	0.000000	0.000000	0.000000	0
0.117000	-0.000177	0.002258	-0.000062	0.308289	0.002019	0.487263	0.000000	0.000000	0.000000	0
0.118000	0.001473	0.000712	-0.001182	0.308290	0.002019	0.487262	0.000000	0.000000	0.000000	0
0.119000	-0.000427	0.004848	-0.001551	0.308290	0.002024	0.487261	0.000000	0.000000	0.000000	0
0.120000	0.001669	0.001199	-0.000630	0.308292	0.002025	0.487260	0.000000	0.000000	0.000000	0
0.121000	0.000497	0.002287	-0.001013	0.308292	0.002028	0.487259	0.000000	0.000000	0.000000	0
0.122000	-0.000940	0.002445	-0.001122	0.308291	0.002030	0.487258	0.000000	0.000000	0.000000	0
0.123000	0.001591	0.001255	-0.002489	0.308293	0.002031	0.487255	0.000000	0.000000	0.000000	0
0.124000	0.000394	0.004735	0.000663	0.308293	0.002036	0.487256	0.000000	0.000000	0.000000	0
0.125000	-0.000025	0.000823	-0.002027	0.308293	0.002037	0.487254	0.000000	0.000000	0.000000	0
0.126000	0.000763	0.002172	0.000183	0.308294	0.002039	0.487254	0.000000	0.000000	0.000000	0
0.127000	0.000680	0.001400	0.000201	0.308295	0.002040	0.487254	0.000000	0.000000	0.000000	0
0.128000	0.000249	0.000337	0.000606	0.308295	0.002041	0.487255	0.000000	0.000000	0.000000	0
0.129000	0.000693	0.003963	-0.002982	0.308296	0.002045	0.487252	0.000000	0.000000	0.000000	0
0.131000	0.000053	-0.000204	-0.000967	0.308296	0.002048	0.487252	0.000000	0.000000	0.000000	0
0.132000	0.000598	0.003834	0.001255	0.308297	0.002052	0.487253	0.000000	0.000000	0.000000	0
0.133000	0.000554	0.002840	-0.000018	0.308297	0.002055	0.487253	0.000000	0.000000	0.000000	0
0.134000	-0.000209	-0.000739	-0.001091	0.308297	0.002054	0.487252	0.000000	0.000000	0.000000	0
0.136000	0.000618	0.001614	0.000671	0.308298	0.002060	0.487250	0.000000	0.000000	0.000000	0
0.137000	0.001322	0.002332	0.000282	0.308299	0.002062	0.487250	0.000000	0.000000	0.000000	0
0.138000	-0.000083	0.002548	-0.000499	0.308299	0.002065	0.487250	0.000000	0.000000	0.000000	0
0.139000	0.001556	0.003090	-0.002537	0.308301	0.002068	0.487247	0.000000	0.000000	0.000000	0
0.140000	0.000329	-0.001488	0.002109	0.308301	0.002066	0.487249	0.000000	0.000000	0.000000	0
0.141000	0.000261	0.002716	-0.001782	0.308301	0.002069	0.487248	0.000000	0.000000	0.000000	0
0.142000	0.000380	0.002659	0.000598	0.308302	0.002072	0.487248	0.000000	0.000000	0.000000	0
0.143000	-0.000280	0.002181	-0.001769	0.308301	0.002074	0.487246	0.000000	0.000000	0.000000	0
0.144000	0.000369	-0.003212	-0.000791	0.308302	0.002071	0.487246	0.000000	0.000000	0.000000	0
0.145000	-0.000236	0.001201	-0.000432	0.308302	0.002072	0.487245	0.000000	0.000000	0.000000	0
0.146000	-0.000021	0.002927	-0.000677	0.308302	0.002075	0.487245	0.000000	0.000000	0.000000	0
0.147000	0.001490	0.000330	-0.000353	0.308303	0.002075	0.487244	0.000000	0.000000	0.000000	0
0.148000	0.000247	0.000646	-0.000887	0.308303	0.002076	0.487243	0.000000	0.000000	0.000000	0
0.149000	0.000779	0.002396	0.001782	0.308304	0.002078	0.487245	0.000000	0.000000	0.000000	0
0.151000	0.000279	0.000577	-0.003353	0.308304	0.002078	0.487240	0.000000	0.000000	0.000000	0
0.152000	0.000182	0.000806	0.002068	0.308304	0.002079	0.487242	0.000000	0.000000	0.000000	0
0.153000	0.000484	0.000162	-0.002925	0.308305	0.002079	0.487239	0.000000	0.000000	0.000000	0
0.154000	-0.000627	0.001582	-0.000450	0.308304	0.002080	0.487239	0.000000	0.000000	0.000000	0
0.155000	-0.000325	0.001985	-0.000061	0.308304	0.002082	0.487239	0.000000	0.000000	0.000000	0
0.156000	0.000576	-0.000354	-0.002470	0.308305	0.002082	0.487236	0.000000	0.000000	0.000000	0
0.157000	0.001012	0.004061	-0.000735	0.308306	0.002086	0.487235	0.000000	0.000000	0.000000	0
0.158000	-0.000980	-0.001054	0.000727	0.308305	0.002085	0.487236	0.000000	0.000000	0.000000	0
0.159000	0.001796	-0.000425	-0.001368	0.308306	0.002085	0.487235	0.000000	0.000000	0.000000	0
0.160000	-0.000423	0.000477	-0.001485	0.308306	0.002085	0.487233	0.000000	0.000000	0.000000	0
0.161000	-0.000360	0.001067	-0.001402	0.308306	0.002086	0.487232	0.000000	0.000000	0.000000	0
0.162000	0.001411	0.002882	0.002086	0.308307	0.002089	0.487234	0.000000	0.000000	0.000000	0
0.163000	-0.000840	0.001789	-0.000470	0.308306	0.002091	0.487234	0.000000	0.000000	0.000000	0
0.164000	-0.000129	-0.002036	-0.000399	0.308306	0.002089	0.487233	0.000000	0.000000	0.000000	0
0.165000	0.000252	0.002127	0.000156	0.308306	0.002091	0.487233	0.000000	0.000000	0.000000	0
0.166000	-0.000077	0.001911	-0.000997	0.308306	0.002093	0.487232	0.000000	0.000000	0.000000	0
0.167000	0.000924	-0.001351	0.000981	0.308307	0.002092	0.487233	0.000000	0.000000	0.000000	0
0.168000	-0.001132	0.002948	-0.000054	0.308306	0.002095	0.487233	0.000000	0.000000	0.000000	0
0.169000	0.000167	0.001775	-0.001785	0.308306	0.002096	0.487231	0.000000	0.000000	0.000000	0
0.170000	0.000326	0.001321	0.001565	0.308307	0.002098	0.487233	0.000000	0.000000	0.000000	0
0.171000	0.000276	0.001885	0.000837	0.308307	0.002100	0.487234	0.000000	0.000000	0.000000	0
0.172000	0.000065	0.001117	-0.000585	0.308307	0.002101	0.487233	0.000000	0.000000	0.000000	0
0.173000	-0.001219	0.001527	0.000223	0.308306	0.002102	0.487233	0.000000	0.000000	0.000000	0
0.174000	0.000996	0.001258	0.000079	0.308307	0.002103	0.487234	0.000000	0.000000	0.000000	0
0.176000	0.001050	0.001726	-0.000153	0.308307	0.002107	0.487234	0.000000	0.000000	0.000000	0
0.177000	0.000077	0.001516	-0.000101	0.308308	0.002109	0.487234	0.000000	0.000000	0.000000	0
0.179000	-0.000148	0.002395	0.001091	0.308307	0.002110	0.487235	0.000000	0.000000	0.000000	0
0.180000	-0.000352	-0.000129	-0.002468	0.308307	0.002110	0.487232	0.000000	0.000000	0.000000	0
0.181000	-0.000118	0.001633	-0.000468	0.308307	0.002112	0.487232	0.000000	0.000000	0.000000	0
