time	Vf_x	Vf_y	Vf_z	Xf_x	Xf_y	Xf_z	Fc_x	Fc_y	Fc_z	first_packet
0.000000	inf	-nan	-nan	0.307757	0.001170	0.486425	0.000000	0.000000	0.000000	0
0.001000	0.000239	0.001471	-0.000382	0.307757	0.001171	0.486425	0.000000	0.000000	0.000000	0
0.002000	-0.000609	-0.000055	0.002241	0.307757	0.001171	0.486427	0.000000	0.000000	0.000000	0
0.003000	0.000410	-0.001287	0.000920	0.307757	0.001170	0.486428	0.000000	0.000000	0.000000	0
0.004000	-0.001475	-0.000261	-0.002787	0.307755	0.001170	0.486425	0.000000	0.000000	0.000000	0
0.005000	-0.000385	0.002098	-0.001647	0.307755	0.001172	0.486424	0.000000	0.000000	0.000000	0
0.006000	-0.000331	-0.001616	-0.002414	0.307755	0.001170	0.486421	0.000000	0.000000	0.000000	0
0.007000	-0.000550	-0.000388	-0.004851	0.307754	0.001170	0.486416	0.000000	0.000000	0.000000	0
0.008000	-0.000999	0.003815	-0.002578	0.307753	0.001174	0.486414	0.000000	0.000000	0.000000	0
0.009000	0.000804	-0.002153	-0.002282	0.307754	0.001172	0.486412	0.000000	0.000000	0.000000	0
0.010000	0.000466	0.001015	-0.003799	0.307754	0.001173	0.486408	0.000000	0.000000	0.000000	0
0.011000	0.000706	-0.000421	-0.000111	0.307755	0.001172	0.486408	0.000000	0.000000	0.000000	0
0.012000	-0.000297	0.000773	-0.003522	0.307755	0.001173	0.486404	0.000000	0.000000	0.000000	0
0.013000	-0.002124	-0.001213	-0.003360	0.307753	0.001172	0.486401	0.000000	0.000000	0.000000	0
0.014000	-0.000036	0.001319	-0.001399	0.307753	0.001173	0.486399	0.000000	0.000000	0.000000	0
0.015000	0.000281	-0.001161	-0.001463	0.307753	0.001172	0.486398	0.000000	0.000000	0.000000	0
0.016000	-0.000934	0.001996	-0.003541	0.307752	0.001174	0.486394	0.000000	0.000000	0.000000	0
0.017000	-0.000640	0.000431	-0.002268	0.307751	0.001174	0.486392	0.000000	0.000000	0.000000	0
0.018000	-0.000091	-0.000491	-0.002666	0.307751	0.001174	0.486390	0.000000	0.000000	0.000000	0
0.019000	-0.000157	-0.002188	-0.002702	0.307751	0.001172	0.486387	0.000000	0.000000	0.000000	0
0.020000	-0.000708	0.001381	-0.004345	0.307750	0.001173	0.486382	0.000000	0.000000	0.000000	0
0.021000	-0.001742	-0.000308	-0.003467	0.307749	0.001173	0.486379	0.000000	0.000000	0.000000	0
0.022000	-0.000736	0.000365	-0.002756	0.307748	0.001173	0.486376	0.000000	0.000000	0.000000	0
0.023000	-0.000004	0.001488	-0.001678	0.307748	0.001174	0.486375	0.000000	0.000000	0.000000	0
0.024000	-0.000688	0.000160	-0.003207	0.307747	0.001175	0.486371	0.000000	0.000000	0.000000	0
0.025000	-0.000355	0.000769	-0.002277	0.307747	0.001175	0.486369	0.000000	0.000000	0.000000	0
0.026000	-0.000666	0.000718	-0.004631	0.307746	0.001176	0.486364	0.000000	0.000000	0.000000	0
0.027000	0.000892	0.001263	-0.000709	0.307747	0.001177	0.486364	0.000000	0.000000	0.000000	0
0.028000	-0.000915	0.001913	-0.002620	0.307746	0.001179	0.486361	0.000000	0.000000	0.000000	0
0.029000	-0.000716	-0.000148	-0.005269	0.307746	0.001179	0.486356	0.000000	0.000000	0.000000	0
0.030000	-0.000768	0.000987	-0.001494	0.307745	0.001180	0.486354	0.000000	0.000000	0.000000	0
0.031000	0.000259	-0.000902	-0.001277	0.307745	0.001179	0.486353	0.000000	0.000000	0.000000	0
0.032000	0.001566	0.002061	-0.002692	0.307747	0.001181	0.486350	0.000000	0.000000	0.000000	0
0.033000	-0.000126	-0.000918	-0.000434	0.307746	0.001180	0.486350	0.000000	0.000000	0.000000	0
0.034000	0.000474	0.000848	-0.004639	0.307747	0.001181	0.486345	0.000000	0.000000	0.000000	0
0.035000	0.000571	0.001213	0.000400	0.307748	0.001182	0.486346	0.000000	0.000000	0.000000	0
